Open,Close,High,Low,Volume,Date
3.6375,3.7025,3.7125,3.6125,,12/03/15
3.67,3.64,3.67,3.635,,12/02/15
3.6525,3.67,3.6875,3.645,,12/01/15
3.5975,3.65,3.66,3.5925,,11/30/15
3.6525,3.5925,3.6575,3.5875,,11/27/15
3.6425,3.66,3.665,3.64,,11/25/15
3.67,3.6425,3.6725,3.64,,11/24/15
3.625,3.6725,3.675,3.6,,11/23/15
3.635,3.6325,3.665,3.62,,11/20/15
3.6175,3.6425,3.655,3.6025,,11/19/15
3.62,3.6175,3.6425,3.585,,11/18/15
3.6,3.62,3.625,3.5825,,11/17/15
3.5825,3.6,3.6075,3.5725,,11/16/15
3.615,3.5825,3.6225,3.58,,11/13/15
3.6175,3.62,3.635,3.5925,,11/12/15
3.605,3.6225,3.635,3.595,,11/11/15
3.67,3.59,3.6775,3.56,,11/10/15
3.7275,3.6675,3.755,3.665,,11/09/15
3.7475,3.73,3.7525,3.7,,11/06/15
3.795,3.745,3.7975,3.7375,,11/05/15
3.795,3.805,3.835,3.765,,11/04/15
3.765,3.805,3.8225,3.7575,,11/03/15
3.8125,3.765,3.8175,3.76,,11/02/15
3.7975,3.8225,3.8375,3.7875,,10/30/15
3.76,3.8,3.805,3.755,,10/29/15
3.7975,3.76,3.8075,3.7575,,10/28/15
3.84,3.8,3.875,3.79,,10/27/15
3.8,3.845,3.8575,3.78,,10/26/15
3.7775,3.7975,3.8,3.75,,10/23/15
3.8025,3.7825,3.835,3.775,,10/22/15
3.77,3.8075,3.81,3.755,,10/21/15
3.7275,3.7675,3.7775,3.72,,10/20/15
3.7725,3.73,3.775,3.725,,10/19/15
3.755,3.7675,3.78,3.725,,10/16/15
3.7875,3.755,3.795,3.75,,10/15/15
3.845,3.79,3.8675,3.785,,10/14/15
3.81,3.845,3.8475,3.79,,10/13/15
3.815,3.8075,3.8525,3.8025,,10/12/15
3.91,3.8275,3.9425,3.815,,10/09/15
3.9475,3.9125,3.9575,3.905,,10/08/15
3.975,3.9575,3.9975,3.9375,,10/07/15
3.9275,3.9825,3.99,3.9175,,10/06/15
3.8925,3.935,3.94,3.8875,,10/05/15
3.88,3.8925,3.915,3.84,,10/02/15
3.8775,3.8875,3.93,3.85,,10/01/15
3.89,3.8775,3.945,3.835,,09/30/15
3.8725,3.89,3.895,3.85,,09/29/15
3.8875,3.8675,3.925,3.8375,,09/28/15
3.8125,3.89,3.895,3.81,,09/25/15
3.8275,3.815,3.84,3.7925,,09/24/15
3.795,3.8325,3.845,3.79,,09/23/15
